Results	Entity	Line	Column	CheckID	Check Name
Number of Results: 79					
  cpu					
    arm					
      aducrf101					
        Common					
          radioeng.c					
            The left expression of the compound assignment is an uninitialized value. The computed value will also be garbage		1146	16		Assign
            The left operand of '!=' is a garbage value		1386	20		UndefinedBinaryOperatorResult
            Value stored to 'Response' is never read		1480	7		DeadStores
            Pointer arithmetic on non-array variables relies on memory layout, which is dangerous		1527	37		PointerArithm
            Pointer arithmetic on non-array variables relies on memory layout, which is dangerous		1585	43		PointerArithm
            Pointer arithmetic on non-array variables relies on memory layout, which is dangerous		1610	37		PointerArithm
      common					
        dbg-io					
          strformat.c					
            Out of bound memory access (access exceeds upper limit of memory block)		565	16		ArrayBoundV2
            Out of bound memory access (access exceeds upper limit of memory block)		568	14		ArrayBoundV2
      stm32l152					
        crt.c					
          This statement is never executed		73	8		UnreachableCode
    mc1322x					
      lib					
        i2c.c					
          Value stored to 'tmp' is never read		219	2		DeadStores
          Value stored to 'dummy' is never read		308	6		DeadStores
      tools					
        mc1322x-load.c					
          Value stored to 'r' is never read		181	5		DeadStores
          Value stored to 'r' is never read		216	3		DeadStores
          Value stored to 'r' is never read		267	7		DeadStores
          Value stored to 'r' is never read		290	5		DeadStores
          Value stored to 'r' is never read		291	5		DeadStores
    rl78					
      Communication.c					
        This statement is never executed		634	6		UnreachableCode
        This statement is never executed		636	20		UnreachableCode
        This statement is never executed		683	6		UnreachableCode
        This statement is never executed		686	10		UnreachableCode
    x86					
      drivers					
        legacy_pc					
          shared-isr.c					
            Pointer arithmetic on non-array variables relies on memory layout, which is dangerous		44	65		PointerArithm
            Pointer arithmetic on non-array variables relies on memory layout, which is dangerous		85	7		PointerArithm
            Pointer arithmetic on non-array variables relies on memory layout, which is dangerous		105	5		PointerArithm
  lib					
    fs					
      fat					
        ff.c					
          Branch condition evaluates to a garbage value		1023	8		Branch
          Function call argument is a pointer to uninitialized value		5005	5		CallAndMessage
          Value stored to 'part' is never read		5242	2		DeadStores
          Function call argument is a pointer to uninitialized value		5890	6		CallAndMessage
    newlib					
